No	Pathogen	Pathogen_fullname	Taxonomy ID	Isolate_genome	Fragment								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000184.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000185.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000186.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000187.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000188.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000189.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000190.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000191.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000192.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000193.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000194.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000195.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000196.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000197.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000198.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000199.1								
